tweets,clean_tweets,sentiment
"Walmart: Addison, Anna, Antioch, Aurora, Batavia, Bedford park, Belleville, Belvidere, Benton, Bolingbrook, Bourbon… https://t.co/EB64YDGJDd",walmart addison anna antioch aurora batavia bedford park belleville belvidere benton bolingbrook bourbon,positive
Free Air Wick Coupon at Walmart and Weber Seasoning Recipe Book at Sam’s Club https://t.co/MbnQAsdvda #freestuff… https://t.co/yT0pT2AwRF,free air wick coupon walmart weber seasoning recipe book sams club freestuff,positive
"New available appointments detected!
Provider: Walmart
Location:
Walmart Humble Supercenter
9235 N Sam Houston Pkwy… https://t.co/XqWhVvw2v3",new available appointments detected provider walmart location walmart humble supercenter 9235 sam houston pkwy,positive
"New available appointments detected!
Provider: Walmart
Location:
Walmart Denton Neighborhood Market
3930 Teasley Ln… https://t.co/6pBWhewghS",new available appointments detected provider walmart location walmart denton neighborhood market 3930 teasley ln,positive
I know they mean Tyson and Walmart but still ha,know mean tyson walmart still,negative
"I'm at @Walmart Supercenter in Pass Christian, MS https://t.co/UDn04kdgCY",supercenter pass christian ms,positive
"This customer told me somebody used $100 at Walmart  , her debit card https://t.co/58m1qCH6ZO",customer told somebody used 100 walmart debit card,positive
@Vee_Cosplay WAIT I WAS JUST ABT TO THAT OMFG  ME TOOOO LIKE LITERALLY in line at walmart minding my business and a… https://t.co/8aqN9oFQjf,wait abt omfg toooo like literally line walmart minding business,positive
"New availability: Walmart
Burnsville Supercenter 12200 River Ridge Blvd, Burnsville, MN 55337
Access here:… https://t.co/qcKgoYCgWw",new availability walmart burnsville supercenter 12200 river ridge blvd burnsville mn 55337 access,positive
"Where is best to have a registry? Walmart, target or Amazon?",best registry walmart target amazon,positive
Nathan’s Famous to open 100 non-traditional locations by year-end; some inside Walmart #NathansFamous https://t.co/WOoYwBXlTY,nathans famous open 100 nontraditional locations yearend inside walmart nathansfamous,positive
@chartheslut @myshittyreviews Okay hear me out.......Walmart brand equate brushes. I've literally used plenty of ot… https://t.co/CKRByu8zaB,okay hear outwalmart brand equate brushes ive literally used plenty ot,positive
Me + Xanax + Walmart = klepto,xanax walmart klepto,positive
Walmart lines are so annoying,walmart lines annoying,positive
[at walmart customer service desk voice] where are the tiktok egirls,walmart customer service desk voice tiktok egirls,positive
@JCannon153 @belikemike824 @sportscardsdon @CardPurchaser Waiting In Line?? Bro I Work At Walmart. I Was Just Casua… https://t.co/2IUT7maM6b,waiting line bro work walmart casua,positive
"Vaccine appointments available at Walmart Burnsville Supercenter Burnsville on Apr 29. Sign up here, zip code 55337… https://t.co/G6Czqkekh1",vaccine appointments available walmart burnsville supercenter burnsville apr 29 sign zip code 55337,positive
@aubsmagobs Walmart has some good clothes no cap,walmart good clothes cap,positive
Damn those cameras Walmart uses at the self check out really know how to make your confidence suck 😅,damn cameras walmart uses self check really know make confidence suck,positive
"I hadn't thought about it, but now that I have... WOW!  I see it every time I go to a Walmart in TN or KY.  And of… https://t.co/rQ7gTv451D",hadnt thought wow see every time go walmart tn ky,positive
"@reviewjournal r u frcikin kidding us @AdamHillLVRJ ? what a joke u r as a ""reporter"". Oh, wait, you're a lib worki… https://t.co/jmou3zrz6U",r frcikin kidding us joke r reporter oh wait youre lib worki,positive
"New availability: Walmart
Maple Grove Supercenter 9451 Dunkirk Ln N, Maple Grove, MN 55311
Access here:… https://t.co/YMVqC580zc",new availability walmart maple grove supercenter 9451 dunkirk ln maple grove mn 55311 access,positive
"no ps5 restocks from target,bb, or walmart this week.. yeah I’m over it  https://t.co/LbRSrkXCgA",ps5 restocks targetbb walmart week yeah,positive
@IreneKarenina @batita_gonzalez Instagram es un centro comercial burda de raro. Algo así como si lo hubiese diseñad… https://t.co/QCK7jmeazn,instagram centro comercial burda raro así diseñad,positive
@IiKarnage @THR It looks like something youd find kn walmart,looks like something youd find kn walmart,positive
@_pem_pem I will never forget when my dumbass thought I should stop taking my Effexor after taking it all through h… https://t.co/zzpLNwpKWh,never forget dumbass thought stop taking effexor taking,positive
eating fries with a homeless man in a walmart parking lot hes so nice,eating fries homeless walmart parking lot hes nice,positive
"911: what is your emergency

dolts: hi, yeah, is it cool if i pop into the walmart in burnaby https://t.co/cn3B65p3MM",911 emergency dolts hi yeah cool pop walmart burnaby,positive
"@sadgirIterra i might get some,, the best leggings i’ve ever owned are walmart leggings they’re awesome but i need… https://t.co/M80rsGbe1y",might get best leggings ive ever owned walmart leggings theyre awesome need,positive
"The business model of socially irresponsible companies like Uber, Amazon, Walmart (to name just a few) was always b… https://t.co/fR2Udj0ipw",business model socially irresponsible companies like uber amazon walmart always b,positive
Today I Picked The Wrong Day To Wear A Pull Over Cus It Was Just Cold In Walmart Yetserday But Now It’s Hot 🤦🏾‍♀️,today picked wrong day wear pull cus cold walmart yetserday hot,negative
ok walmart ladies section i see u,ok walmart ladies section see,positive
"Vaccine appointments available at Walmart Maple Grove Supercenter Maple Grove on Apr 27. Sign up here, zip code 553… https://t.co/jywLzWkYdh",vaccine appointments available walmart maple grove supercenter maple grove apr 27 sign zip code 553,positive
Facebook dating is the People of Walmart for online dating.,facebook dating people walmart online dating,positive
@alexrodrguz @Walmart @Target Boo hoo. Stop sticking up for someone who uses her ED as a weapon against people. She… https://t.co/GiGT7pArjj,boo hoo stop sticking someone uses weapon people,positive
@harry_houdinii @wewerewitches @patriottakes We wouldn't survive walmart or target either,wouldnt survive walmart target either,positive
WALMART REALLY MY FAVORITE STORE 🤣🤷🏽‍♂️😭,walmart really favorite store,positive
@badimo @Roblox @Target @Walmart @GameStop follow 4 follow,follow 4 follow,positive
Walmart sandals are in stock so you know my cheap ass is stocking up.,walmart sandals stock know cheap ass stocking,positive
@GoatyMcTroll @420_bLaZiTT @Timcast I think I see where you’re coming from. It’s more likely Walmart and Amazon jum… https://t.co/FQkAQSmTTW,think see youre coming likely walmart amazon jum,positive
Saw this at Walmart and it intrigued me so I had to buy it and it's not bad!! Hope this flavor sticks around.. https://t.co/Cu4AGtmBSR,saw walmart intrigued buy bad hope flavor sticks around,negative
@bblock29 Or the mouth only.  I had to tell a Walmart employee to keep her distance today because she was wearing her mask under her nose.,mouth tell walmart employee keep distance today wearing mask nose,positive
@bertrosa Y yo me quejé de encontrarlo en 58 pesos en Walmart  😰,quejé encontrarlo 58 pesos walmart,positive
walmart dress code 2021 : Shop Now - #Trends - https://t.co/HeXPD2Laup https://t.co/rVR7sK1zUP,walmart dress code 2021 shop trends,positive
"NEW: Walmart Supercenter #3522 on 04-26 to 04-29
Total Appointments at Location: 93
Age Group: 18+

Address: 3250 B… https://t.co/dd2npHgcT4",new walmart supercenter 3522 0426 0429 total appointments location 93 age group 18 address 3250 b,positive
@soccerscp23 This may sound cheap but Walmart sells really comfy ones for $6,may sound cheap walmart sells really comfy ones 6,positive
"New availability: Walmart
Falcon Supercenter: 11550 Meridian Market Vw, Falcon, CO 80831
Access here:… https://t.co/18Pq5JNrZ8",new availability walmart falcon supercenter 11550 meridian market vw falcon co 80831 access,positive
Naw bro come to Orlando and go to the Walmart on Kirkman I bet you change your mind lol https://t.co/dckbLEPJwC,naw bro orlando go walmart kirkman bet change mind lol,positive
@jonkay It’s just like how if you dip under the caution tape at Walmart you can still buy socks - they didn’t remov… https://t.co/c6aPkwDhrr,like dip caution tape walmart still buy socks didnt remov,positive
@HRHGunpowder This is why first places I hit when I get where I'm going is @DollarTree or @Walmart.,first places hit get going,positive
i love looking scary in walmart bc i hate everyone there,love looking scary walmart bc hate everyone,negative
@sadgirIterra are they better than lululemon?? i only wear target and walmart leggings but i’m down to invest.,better lululemon wear target walmart leggings invest,positive
@Theeeezy lol Yea can’t go wrong with a hat Walmart has em for sure,lol yea cant go wrong walmart sure,positive
"Mf's clothes still intact after 9,000 years and I can't even get my Walmart clothes to last a month. lmao https://t.co/Pd9et2momv",mfs clothes still intact 9000 years cant even get walmart clothes last month lmao,positive
"@PattyHajdu Canada's Covid death count is .06%
This means we are not walking over dead bodies in Walmart or anywher… https://t.co/AhPs86kWAE",canadas covid death count 06 means walking dead bodies walmart anywher,negative
Pre-orders are open for a @Walmart Exclusive #MortalKombat11 Sub-Zero vs Shao Kahn 2-Pack by @Todd_McFarlane:… https://t.co/Hl1eai2K8W,preorders open exclusive mortalkombat11 subzero vs shao kahn 2pack,positive
@JRchrvs 😂Gotta go to the one on Old Nat in the Walmart plaza.,got go old nat walmart plaza,positive
@ProjectLincoln Walmart greeter... in Russia; specifically Siberia.,walmart greeter russia specifically siberia,positive
@beating_of @garygreno @BaileyDonkster @durandundee7105 @ErnestHanson19 @xXGeJaMoXx @hollygtinsel @Birdseye1… https://t.co/iWsoH4CtYQ,,positive
@JCruz247 Walmart on expressway shary n walmart in palmhurst dont require masks ... i have not tried another,walmart expressway shary walmart palmhurst dont require masks tried another,positive
The Best Bluetooth Dongles On PS5 In April 2021 #ps SEE MORE HERE ==&gt; https://t.co/qgZtVVOSJh #analogue #bestbuy… https://t.co/g695NhFw5C,best bluetooth dongles ps5 april 2021 ps see gt analogue bestbuy,positive
"Try the Burger King in Delafield, right down the hill from Walmart. Absolutely dreadful. I get better customer serv… https://t.co/hJA2Ebsina",try burger king delafield right hill walmart absolutely dreadful get better customer serv,positive
So there's a deal at walmart for 25cent pasta. I grabbed 26. Stocking up just in case. #prepper #Walmart https://t.co/W5rlasKOXc,theres deal walmart 25cent pasta grabbed 26 stocking case prepper walmart,positive
