tweets,clean_tweets,sentiment
"【コーヒーメーカー】ベスト10
【シロカ公式ストア限定】シロカ 全自動コーヒーメーカー カフェばこ [ガラスサーバー/静音/ミル4段階/コンパクト/豆・粉両対応/蒸らし/タイマー機能] シルバー SC-A351 + Postcof… https://t.co/HPe2QyxfSw",コーヒーメーカーベスト10 シロカ公式ストア限定シロカ 全自動コーヒーメーカー カフェばこ ガラスサーバー静音ミル4段階コンパクト豆粉両対応蒸らしタイマー機能 シルバー sca351 postcof,positive
"For #NationalPicnicDay, grab a Zojirushi Stainless Ms. Bento Steel Vacuum Lunch Jar (SL-NCE09) for the perfect meal… https://t.co/9qFtfk0fSR",nationalpicnicday grab zojirushi stainless ms bento steel vacuum lunch jar slnce09 perfect meal,positive
Bubblegum for my testers! State testing is around the corner. #Help me make my #students goodie bags for the •BIG•… https://t.co/G2Mea3zo4b,bubblegum testers state testing around corner help make students goodie bags big,positive
"Patio, Lawn &amp; Garden 867835
Plants, Seeds &amp; Bulbs, Pots, Planters &amp; Container Accessories, Hand Tools, Watering Equ… https://t.co/wDA6zkIDOZ",patio lawn amp garden 867835 plants seeds amp bulbs pots planters amp container accessories hand tools watering equ,positive
"@baratodeler #DiaDoLivroBDL 
https://t.co/na5svKUm3t
🥰",diadolivrobdl,positive
Someone tell me why Andrew keeps removing my items from our Amazon cart... I might actually have a big issue with him :-),someone tell andrew keeps removing items amazon cart might actually big issue,positive
"THE MARKET – WARNING: very hardcore  Very definitely NSFW &amp; COMPELLING 
https://t.co/yyWvecgLsa",market warning hardcore definitely nsfw amp compelling,positive
"Love's story stands out in its originality, with themes of science and spirituality, and a conflict that is strongl… https://t.co/d77rIIfMeu",loves story stands originality themes science spirituality conflict strongl,positive
"""A stunning, powerful thriller that will take your breath away."" https://t.co/1vmyIhtALG @DominicPiper1 #Thriller… https://t.co/Rvs7lcqWyj",stunning powerful thriller breath away thriller,positive
"P.I. John Gideon and his new partner, Beth May -- a spell-wielding demon who has turned her back on Hell -- are hum… https://t.co/QrnJfbqU9f",pi john gideon new partner beth may spellwielding demon turned back hell hum,positive
"Grapadora de mesa, grapadora de libros fácil de cargar, capacidad de 12 hojas, antideslizante

🤑 Precio: 6.29€  (A… https://t.co/Hm5AuhHRpT",grapadora mesa grapadora libros fácil cargar capacidad 12 hojas antideslizante precio 629,positive
"【寄付金先：公益財団法人 北海道盲導犬協会】スマイルカレンダー2021(壁掛) #犬 #盲導犬 #補助犬
amazon支店⇒ https://t.co/X2dD6LIuvn
https://t.co/3ZdmT18reb",寄付金先公益財団法人 北海道盲導犬協会スマイルカレンダー2021壁掛 犬 盲導犬 補助犬 amazon支店,positive
Disfruta de un nuevo smartphone hasta la puerta de tu hogar con #Amazon #FelizViernes https://t.co/CRSmXi7nmw https://t.co/WwfaznfrbL,disfruta nuevo smartphone puerta hogar amazon felizviernes,positive
No hay más que añadir  https://t.co/UzW3HuqcLQ https://t.co/QLYgNaqUgl,añadir,positive
https://t.co/nIAfmwWheE 6:00,600,positive
"Deals and Promotions 0600
https://t.co/4HIvnGZsUC  @amazon 
https://t.co/tA1kz4DiTL",deals promotions 0600,positive
uso o deezer e a amazon music https://t.co/jNikE3L6VC,uso deezer amazon music,positive
"【ギフトランキング（アニソン・ゲーソン）】3位：「『ウマ娘 プリティーダービー』WINNING LIVE 01」V.A.4位：「Shiro SAGISU Music from“SHIN EVANGELION""」鷺巣詩郎https://t.co/PtYBGVWjVX",ギフトランキングアニソンゲーソン 3位ウマ娘 プリティーダービーwinning live 01va 4位shiro sagisu music fromshin evangelion鷺巣詩郎,positive
#NowPlaying That's the Way of the World by Smooth Jazz All Stars https://t.co/Vc3bQx5SQk #Follow us on #TuneIn… https://t.co/EiCqvmhvFD,nowplaying thats way world smooth jazz stars follow us tunein,positive
"@panda_editing Happy Friday! Scouting crews discover an anomaly on a new world, endlessly broadcasting its memory o… https://t.co/98VPE9CWZF",happy friday scouting crews discover anomaly new world endlessly broadcasting memory,positive
Brazil to invest USD 70m in solar power for Amazon region https://t.co/54ePvJ4Yaq via @RenewablesNow #Brazil… https://t.co/0AisyPYYkp,brazil invest usd 70m solar power amazon region via brazil,positive
#Amazon Secures Atlas V Rocket from ULA for Space Broadband Initiative https://t.co/hmcNc7LMGN,amazon secures atlas rocket ula space broadband initiative,positive
"Registration is open for Dr. Frisch’s Topical Mentoring #2: Character Analysis on June 26, 2021, 9:30am-1:30pm PT o… https://t.co/bzVKCTIiK8",registration open dr frischs topical mentoring 2 character analysis june 26 2021 930am130pm pt,positive
@baratodeler https://t.co/3HBqrqn5Dl #DiaDoLivroBDL &lt;33,diadolivrobdl lt33,positive
"@_saya_aizawa レビュー高すぎて草

https://t.co/l49LEriJHb",レビュー高すぎて草,positive
"【コーヒーメーカー】ベスト10
HARIO V60 珈琲王2 コーヒーメーカー EVCM-5TB
https://t.co/pqgmqPC54r #Amazon",コーヒーメーカーベスト10 hario v60 珈琲王2 コーヒーメーカー evcm5tb amazon,positive
"6:00
Check out Fire 7 Tablet | 7"" display, 16 GB, Black with Special Offers by Amazon https://t.co/GDpR9xjyQ9… https://t.co/d8Yifbpeb6",600 check fire 7 tablet 7 display 16 gb black special offers amazon,positive
"ROSEBEAR Wifi R3 ##ATmega328P + #ESP8266 Placa de Desarrollo (Memoria de 32 Mb) Usb-Ttl Ch340g

💸 Precio: 14.29€  (… https://t.co/rCtlNoeWwr",rosebear wifi r3 atmega328p esp8266 placa desarrollo memoria 32 mb usbttl ch340g precio 1429,positive
"6:00 6
Pantry Staples https://t.co/rS5NqscSrC  
@amazon https://t.co/xLw2elWm7C",600 6 pantry staples,positive
"#NP I'm Out (feat. Marc Stevens &amp; Joe Ayinde) by Dre Knowss #ParableRadio @DjBishopblue21 #Gospel
 Buy song https://t.co/lskx4MQW8Y)",np feat marc stevens amp joe ayinde dre knowss parableradio gospel buy song,positive
@QEDGManagement @yesofficial I couldn't find it on Amazon...?,couldnt find amazon,positive
"【amazonで予約開始‼】
アークライトの新作が早くも登場です！

ディナー・イン・パリ
https://t.co/vto6SuEbbW

千客万来のパリの広場でレストラン事業の成功を目指す経営戦略ゲーム。
素晴らしいアートデザ… https://t.co/oQomxg7VQc",amazonで予約開始 アークライトの新作が早くも登場です ディナーインパリ 千客万来のパリの広場でレストラン事業の成功を目指す経営戦略ゲーム 素晴らしいアートデザ,positive
"VMAX Solar Battery SLR100 #Vmaxtanks #AGM 100ah 12V #Battery #solarpanels #pv $249.99 via @amazon https://t.co/ZneSte8nxK""",vmax solar battery slr100 vmaxtanks agm 100ah 12v battery solarpanels pv 24999 via,positive
International mystery with a southern accent! The Long Road Home by Carolyn Bowen #fiction #internationalmystery… https://t.co/qFZeIFfjbP,international mystery southern accent long road home carolyn bowen fiction internationalmystery,negative
"Now Playing: Nazareth by Broken Down Angel - Listen at https://t.co/inAKQ9dgBg
 Buy it https://t.co/QUO38i1LGk",playing nazareth broken angel listen buy,negative
"Now Playing: Feels Good (Extended) by @TonyToniTone1 https://t.co/XYdateQp1B
 Buy song https://t.co/nsF5fdub9H) https://t.co/C6H7qI9OVL",playing feels good extended buy song,positive
予約しておかないと手に入らないかもね。呪術廻戦 16 (ジャンプコミックス) を Amazon でチェック！ https://t.co/ZuVcTMu4m9 @amazonより,予約しておかないと手に入らないかもね呪術廻戦 16 ジャンプコミックス を amazon でチェック より,positive
"【速報】Amazonの在庫復活
10回目の復活
[カシオ] 腕時計 ジーショック Bluetooth 搭載 電波ソーラー GMW-B5000TR-9JR メンズ ゴールド
https://t.co/F9CrUJ7laF https://t.co/TDe2WJA5ok",速報amazonの在庫復活 10回目の復活 カシオ 腕時計 ジーショック bluetooth 搭載 電波ソーラー gmwb5000tr9jr メンズ ゴールド,positive
"Greenlights by McConaughey, Matthew 
#1 NEW YORK TIMES BESTSELLER Over one million copies sold! From the Academy Aw… https://t.co/lO65eHjXVN",greenlights mcconaughey matthew 1 new york times bestseller million copies sold academy aw,positive
When we practice gratitude in our lives we see what we have not what we don't have. See how @LoriGoldenLCSW her boo… https://t.co/T7BWEnXWVY,practice gratitude lives see dont see boo,positive
"Beard Care Kit for $13.46!! 
*$6 off coupon on page
  
https://t.co/ifJwOZstfi  

Over 12k positive reviews, 4.6/5 star rating!",beard kit 1346 6 coupon page 12k positive reviews 465 star rating,positive
"Right now, GBR is playing Turn The Beat Around by Vicki Sue Robinson and YOU'RE MISSING IT 'CUZ YOU'RE PLAYING WITH… https://t.co/H6RTYtQwmg",right gbr playing turn beat around vicki robinson youre missing cuz youre playing,positive
Ask your children what animals they'd like to see when creature adventuring through the Amazon rainforest or Alaska… https://t.co/w0zyu96ad7,ask children animals theyd like see creature adventuring amazon rainforest alaska,positive
@EmmaFillum Sci-Fi Dystopian Thriller: Can a talented criminal from Chicago take on America's most powerful regime?… https://t.co/XKsJZ1JACo,scifi dystopian thriller talented criminal chicago americas powerful regime,positive
J’ai vu pleins de reportages sur les joueurs de foot sur amazon prime jv tous les regarder,jai vu pleins reportages joueurs foot amazon prime jv tous regarder,positive
"📣 Nuevo Podcast! ""121. Nocturnalia; Romanos y muertos vivientes"" en @Spreaker #amazon #espasa #muertos… https://t.co/oXrWQGEqai",nuevo podcast 121 nocturnalia romanos muertos vivientes amazon espasa muertos,positive
"@naonaopooh あーそれは嫌かも。そもそも人に向かって大声出すやつに言われたくないって感じだけど……。一応、あんまり意味ないと思いつつ、日焼け対策兼ねて去年はこういうの使ってた
https://t.co/jjdsfRqV9w",あーそれは嫌かもそもそも人に向かって大声出すやつに言われたくないって感じだけど一応あんまり意味ないと思いつつ日焼け対策兼ねて去年はこういうの使ってた,positive
"★ 米津玄師 最新シングル ★
『Pale Blue』 
6/16発売 予約開始！ 

3種発売 
(通常盤/リボン盤/パズル盤) 

🔻Amazon一覧
 https://t.co/RXe1iKzpDu 

パズル盤🧩 
🔻Am… https://t.co/wm4oS26NSY",米津玄師 最新シングル pale blue 616発売 予約開始 3種発売 通常盤リボン盤パズル盤 amazon一覧 パズル盤,negative
"""A fabulous, educational and immersive tale of prison life that shines a light on the work of the prison service an… https://t.co/v2vT0rikXP",fabulous educational immersive prison life shines light work prison service,positive
Yes. Also Spotify &gt; Amazon music https://t.co/jmzjvMvNl8,yes spotify gt amazon music,positive
パッと見、漫才コンビ風 ホ○○○○○ https://t.co/DKhLNsgVoC #FollowmeJP #Followme #jpop #electro #music,パッと見漫才コンビ風 ホ followmejp followme jpop electro music,positive
"【ギフトランキング（ミステリー・サスペンス・ハードボイルド）】5位：「アクロイド殺し (ハヤカワ文庫―クリスティー文庫)」 アガサ クリスティー (著)、Christie,Agatha (原著)、詩津子, 羽田 (翻訳)6位：… https://t.co/EcQ44lQcUq",ギフトランキングミステリーサスペンスハードボイルド 5位アクロイド殺し ハヤカワ文庫クリスティー文庫 アガサ クリスティー 著christieagatha 原著詩津子 羽田 翻訳 6位,positive
"Amazon Salon: arriva il salone da parrucchiere #AmazonSalon #parrucchiere #amazon
https://t.co/21JG81B9AQ",amazon salon arriva salone parrucchiere amazonsalon parrucchiere amazon,positive
27-inch late 2013 apple iMac メモリ増設！【Amazonで購入】 https://t.co/7SJGiKphjY @yuyamoriwakiより,27inch late 2013 apple imac メモリ増設amazonで購入 より,negative
"El Dia del Libro es el momento perfecto para compres este fabuloso libro que te ayudara a cambiar tu mentalidad, pr… https://t.co/3cSWM9yG3X",libro momento perfecto compres fabuloso libro ayudara cambiar mentalidad pr,positive
