tweets,clean_tweets,sentiment
"@ShellyMarven I’m in Collin county. Grocery stores, targets, Walmart’s. Etc still pretty much full@masks. Everywher… https://t.co/qnZYUQmH79",collin county grocery stores targets walmarts etc still pretty much full everywher,positive
"Walmart was a big pandemic winner, although its subscription service may not be growing as quickly as some bulls ho… https://t.co/YHJLsRf4Tb",walmart big pandemic winner although subscription service may growing quickly bulls,positive
This is one of the fastest growing jobs at Walmart https://t.co/MXcUpUvmOO I don't have experience being a personal… https://t.co/c6YRnW5y2P,fastest growing jobs walmart dont experience personal,positive
"@seacowsoda @xTeaCupx We don't. Half the time they don't even believe you're neurodivergent.

I find that what help… https://t.co/Ajucc6r0KF",dont half time dont even believe youre neurodivergent find help,negative
"@Daniel_Todd_CFu I do t have a Costco, Walmart and Sams. We do have Mexican grocery stores",costco walmart sams mexican grocery stores,positive
#DealOfTheDay!  🛒 Heading to @Walmart? Add Birds Eye Vegetables to your Shopping List and earn up to $6 #cashback t… https://t.co/D4BPO0Jzu9,dealoftheday heading add birds eye vegetables shopping list earn 6 cashback,positive
@RyansMom2 I live in a small town and Walmart is a necessary evil for a lot of things. However the pandemic has mad… https://t.co/Yly3vtnF80,live small town walmart necessary evil lot things however pandemic mad,negative
.@walmart @walmarthelp So what is the record for how late a grocery delivery has been? And what's the prize if we b… https://t.co/QoTm0Xk8MM,record late grocery delivery whats prize b,negative
"@timburchett Don't bring a gun to Congress
Don't bring a gun to the grocery
Don't bring a gun to Walmart
Don't brin… https://t.co/Y5yFRQ7V6Q",dont bring gun congress dont bring gun grocery dont bring gun walmart dont brin,positive
Walmart saga   #DigitalClock #Clock #Screen #Electronics #Monitor #Display #Walmart #Cash #Cashregister #Grocery… https://t.co/jYl38kb0Bu,walmart saga digitalclock clock screen electronics monitor display walmart cash cashregister grocery,positive
bitchhh we jus spent an hour and a half in walmart grocery shopping lol,bitchhh jus spent hour half walmart grocery shopping lol,positive
"@biancoresearch CPI is so inaccurate with so many items. Sure, monitoring the price of a gallon of gas is easy but… https://t.co/EfGFJZGPeS",cpi inaccurate many items sure monitoring price gallon gas easy,positive
@workswglass Hello Angela. We're following provincial guidelines very closely and will be sure to pass your feedbac… https://t.co/jez2RBfcxk,hello angela following provincial guidelines closely sure pass feedbac,positive
"Walmart + grocery delivery is a morning delight!  Place an order, schedule delivery for the next morning.  Wake up,… https://t.co/Qv9Nuo7zFa",walmart grocery delivery morning delight place order schedule delivery next morning wake,positive
been using grocery pick up a lot lately after I was impressed by their produce picking skills. not mentally prepared for this Walmart trip.,using grocery pick lot lately impressed produce picking skills mentally prepared walmart trip,negative
Food/other grocery pick up is at Walmart. Not setting foot in that germ-riddled place.,foodother grocery pick walmart setting foot germriddled place,positive
"@LeungThe @cafreeland @BoardofTrade Not a concern. Costco, Amazon, Walmart, grocery chains have all had record brea… https://t.co/ToR8RQP56U",concern costco amazon walmart grocery chains record brea,positive
"@cafreeland @BoardofTrade Walmart, Costco, Amazon along with major grocery chains have all reaped profits grossly a… https://t.co/OP3svVJzhj",walmart costco amazon along major grocery chains reaped profits grossly,positive
"Coming up:
* Ofc. dragged by suspect
* Hills. Schools Emergency mtg.
* Sports betting in FL
* CBus protests continu… https://t.co/Ap1IKOvN8V",coming ofc dragged suspect hills schools emergency mtg sports betting fl cbus protests continu,negative
"Coming up:
* Deputy dragged by suspect
* Hills. Schools Emergency mtg.
* Sports betting in FL
* CBus protests conti… https://t.co/q9H8jJuEhU",coming deputy dragged suspect hills schools emergency mtg sports betting fl cbus protests conti,negative
"Me: I know it's 2 in the morning, but I gotta set up a grocery order. Glad these sodas that are clearly shown as ad… https://t.co/0dna4RCjE6",know 2 morning got set grocery order glad sodas clearly shown,positive
never in my life did i get ready to go to the grocery store . or literally on any errand. i’d just go in whatever r… https://t.co/rf6H41VCmW,never life get ready go grocery store literally errand id go whatever r,positive
@mustang_brit @Love4PoliceDogs I do Walmart grocery pick up. Just added to my cart! TY,walmart grocery pick added cart ty,positive
"@toocool2betrue Back when Walmart was open 24 hrs, you should have gone grocery shopping at 3am.....
Some of the we… https://t.co/gqGyiG326F",back walmart open 24 hrs gone grocery shopping 3am,positive
@tOkka Dude no worries in that. I have a staters near me but honestly the grocery section at target and Walmart is just as good,dude worries staters near honestly grocery section target walmart good,positive
I really miss grocery shopping at Walmart at this time 😢,really miss grocery shopping walmart time,positive
"@Tiara_Princess7 Whenever I go out late alone, even if it's to the grocery store, I take pepper spray with me for s… https://t.co/fEiE86ER6T",whenever go late alone even grocery store pepper spray,negative
It’s really fucked up that there’s just no 24hr grocery stores in Birmingham anymore since Walmart’s started closing at 10,really fucked theres 24hr grocery stores birmingham anymore since walmarts started closing 10,negative
"Around noon tomorrow I’ll be two weeks after my second covid shot! I’m gonna grocery shop inside a Walmart, eat ins… https://t.co/0xTIPNayxJ",around noon tomorrow two weeks second covid shot gon grocery shop inside walmart eat,positive
"@reluciano84 @Walmart Let me tell you, I put in almost 5yrs, 3 of them as a dry grocery department manager ......ju… https://t.co/vf7XjtbzwK",let tell put almost 5yrs 3 dry grocery department manager,positive
"6. my city is home to the biggest super walmart in america. its got a complete grocery section, indoor escalator, a… https://t.co/aOvTtbKmpv",6 city home biggest super walmart america got complete grocery section indoor escalator,positive
@hottytoddyreb04 @MajesticDrama Walmart isn’t filled with Lexus &amp; I doubt they are wearing former. They have a phon… https://t.co/XCWrp1sbdi,walmart isnt filled lexus amp doubt wearing former phon,positive
@Walmart yo why don’t all your associates have $15 minimum wage? Y’all got folks in grocery making bread but leavin… https://t.co/pmCJStMZDL,dont associates 15 minimum wage yall got folks grocery making bread leavin,positive
Whoever invented grocery pick up should be given sainthood. Gotta bring home dog food tomorrow so I went ahead and… https://t.co/jdQsAkbpOt,whoever invented grocery pick given sainthood got bring home food tomorrow went ahead,positive
"I'm at Walmart Grocery Pickup and Delivery in Kent, OH https://t.co/Wzpv8riP19",walmart grocery pickup delivery kent oh,positive
@JGainsbourgh @Janemarch888 @SlaggitySlag @MelJonesladadee @to_discussion @notabrokenthing @virginia_house @atriana… https://t.co/b7Fcx0Bgh3,,positive
"On #EarthDay, a shout out to #HwyHaul, who is leveraging #AI and #ML to reduce #carbon emissions and food waste.… https://t.co/DIYQGmIH4Z",earthday shout hwyhaul leveraging ml reduce carbon emissions food waste,positive
@ophicechair You can definitely find it over here. well I live in Indiana and it’s at almost every grocery store ov… https://t.co/6M0dDpuczp,definitely find well live indiana almost every grocery store ov,positive
@ykmaj6 Honestly I’m from New Orleans and this is straight facts.. that’s why I dislike making groceries or driving… https://t.co/RXtAkc5R27,honestly new orleans straight facts thats dislike making groceries driving,positive
BULLETIN : The Porcupine Health Unit is releasing information about a potential low risk exposure to customers who… https://t.co/IHqH6oRz5w,bulletin porcupine health unit releasing information potential low risk exposure customers,positive
"I was walking through the grocery section of Walmart &amp; saw/heard a little girl, maybe 3 or 4, holding one of those… https://t.co/KCCkZyUfcB",walking grocery section walmart amp sawheard little girl maybe 3 4 holding,positive
"I love how you pay a yearly fee for Instacart just to have them jack up the prices of every single item, so your $4… https://t.co/iqvoTQCM1O",love pay yearly fee instacart jack prices every single item 4,positive
"There must be someone at Walmart whose entire job is just stabbing holes in the fucking grocery bags, I swear to god",must someone walmart whose entire job stabbing holes fucking grocery bags swear god,negative
"Hey @Walmart @walmarthelp you will never get me to EVER subscribe to Walmart+.

More like Walmart- when pickup orde… https://t.co/fkFAqAR7ed",hey never get ever subscribe walmart like walmart pickup orde,positive
@aweexii @Katmybeloved target is Walmart like any grocery store.,target walmart like grocery store,positive
@Cernovich So true. I even shop at Walmart and my grocery bills have been concerning.,true even shop walmart grocery bills concerning,positive
"@cd129287 Target is all right, but Walmart is disgusting if it wasn't for the Grocery Department they wouldn't even existed today",target right walmart disgusting wasnt grocery department wouldnt even existed today,positive
"Oh brother!
I’m doing good to force myself to wear a mask in Walmart or grocery store; (only because I have to.) Ou… https://t.co/r8F2rrnZe4",oh brother good force wear mask walmart grocery store,positive
But there are times when going out and about at the grocery stores or even Walmart or Target and everyone uses plas… https://t.co/YeLm2Rd75Z,times going grocery stores even walmart target everyone uses plas,positive
"You are looking at the nicest Walmart in the entire world.

This is the Walmart across the street from the Walmart… https://t.co/J4EagRyLZP",looking nicest walmart entire world walmart across street walmart,positive
@cemeteryIips PLS i think it’s just a midwest store but it’s basically just another grocery store like walmart JFJS… https://t.co/smXoolQQG7,pls think midwest store basically another grocery store like walmart jfjs,positive
@5Jett Walmart Online Grocery Pickup,walmart online grocery pickup,positive
"@KDVR why there is a pharmacy in every Walmart, grocery store, stand alone...… they can be dropped at thousands of locations already",pharmacy every walmart grocery store stand alone dropped thousands locations already,positive
"I normally go to Food Lion to grocery shop, but today I decided to go to Walmart.. let’s just say, for now ima star… https://t.co/aZ9h4lxBwS",normally go food lion grocery shop today decided go walmart lets say ima star,positive
I got vaccinated at a walmart while grocery shopping u guys have no excuse fr,got vaccinated walmart grocery shopping guys excuse fr,positive
We did a comprehensive spring grocery haul for $75 @WalmartCanada https://t.co/ZGe8QnIR0q #sponsored https://t.co/UK9dt7xMSb,comprehensive spring grocery haul 75 sponsored,positive
@Rufusthedog66 Prepaid credit card not associated with your https://t.co/Y0L5sIZcwo can transfer money to it from y… https://t.co/usnBid1MLm,prepaid credit card associated transfer money,positive
@lytchell your hair looks good u look like someone i would see walking around at the grocery walmart and i would sa… https://t.co/FeKMyTcvSr,hair looks good look like someone would see walking around grocery walmart would,positive
@HunterJCullen i see a freedom supporter..i think as long as clerks and stockboys have to wear masks to keep their… https://t.co/PcKOdsng53,see freedom supporteri think long clerks stockboys wear masks keep,negative
@Walmart this can’t be the operational quality of the grocery delivery department that @DougMcMillon expects ?!? Ju… https://t.co/JO9mdO5yyk,cant operational quality grocery delivery department expects,positive
@Walmart so to add insult .. she just said well you can come &amp; get it !?! Like what the heck?!?!  It’s a delivery o… https://t.co/HgyceRh4dC,add insult said well amp get like heck delivery,positive
"@Walmart please fix grocery delivery at Naugatuck CT store. My order never arrived, no one was gonna bother to tell… https://t.co/baaEtfu3V4",please fix grocery delivery naugatuck ct store order never arrived gon bother tell,positive
"@ColinDMello Is this applicable to say, every grocery store worker? Every gas station attendant? Every single Walma… https://t.co/SH2uSSXfdf",applicable say every grocery store worker every gas station attendant every single walma,positive
Did he copy that from grocery retailers? @Walmart @kroger @Publix @HEB,copy grocery retailers,positive
"@zeromiina ME TOO OMG and i get distracted fast so id just lose them while literally just going grocery shopping, a… https://t.co/Ca8xzzrZP0",omg get distracted fast id lose literally going grocery shopping,positive
"@Mike0243 We're happy to hear you're loafing Grocery Pickup, Mike! 🍞 😉",happy hear youre loafing grocery pickup mike,positive
@Walmart this how we shipping online orders now? This isn’t a grocery delivery. How ghetto 🤦🏾‍♀️ https://t.co/rQZnP19YME,shipping online orders isnt grocery delivery ghetto,positive
"@Khanjae4 @Walmart I totally agree. I do grocery pickup service at Walmart. The service is sinking each month. 
It… https://t.co/RuAZ074NPB",totally agree grocery pickup service walmart service sinking month,positive
"@erin_clyburn I’ll be doing the same in 2ish weeks. I’m giddy, tentatively planning a vacation. Of course we’ll sti… https://t.co/KrrpMHZXmb",2ish weeks giddy tentatively planning vacation course well sti,positive
@Walmart Why I like grocery pick up 🤣,like grocery pick,positive
@WerdEmUp @Karone81 @DustinMorris13 Well I am now in high level. No Walmart for 4 hours. I will def look in the ice… https://t.co/RIsKGYRniG,well high level walmart 4 hours def look ice,positive
"@SuziRoyalReads I live in the greater Twin Cities metro area (Minneapolis/St. Paul, MN) and we usually say the name… https://t.co/nnwWk9HSpx",live greater twin cities metro area minneapolisst paul mn usually say,positive
"AMAZON CONTINUES TO LEAD THE GROCERY INDUSTRY IN INNOVATION 

I always enjoy reading articles written by Annie Palm… https://t.co/aERfPFQ85x",amazon continues lead grocery industry innovation always enjoy reading articles written annie palm,positive
Walmart Kroger or Aldi ?👀 Mom dukes takin me grocery shopping lol ..$200 limit 😅,walmart kroger aldi mom dukes takin grocery shopping lol 200 limit,positive
@jaigreen9628 8-12 cup permanent filter will work for you.  They're in most grocery store coffee aisle or Walmart.,812 cup permanent filter work theyre grocery store coffee aisle walmart,positive
"His parents never treated him as disabled, always included him in their every day lives, including going grocery sh… https://t.co/UK62AjEbIH",parents never treated disabled always included every day lives including going grocery sh,positive
@EveryBodyH8tesC LOL. I despise Walmart. The employees don’t even know where things are and I hate buying groceries… https://t.co/10yAzMWlvj,lol despise walmart employees dont even know things hate buying groceries,positive
"@_OT2__ You're right, Crystal Light is only 5 calories per glass compared to soda, I like the strawberry orange ban… https://t.co/hch4brptz2",youre right crystal light 5 calories glass compared soda like strawberry orange ban,positive
"continued:AT 8:05PM,&amp;AFTER CLOCKING OUT AT 2:00AM I CAME BACK HOME,&amp;MONDAY MORNING 04-19-2021 I WENT TO KROGER GROC… https://t.co/rxFApcrReF",continuedat 805pmampafter clocking 200am came back homeampmonday morning 04192021 went kroger groc,positive
