tweets,clean_tweets,sentiment
@wstdyouth_ Kkkkkkk eu te recomendaria esperar um dia de promoção pq TODA black friday ou coisa do tipo a Amazon da… https://t.co/8oOSX51bMs,kkkkkkk recomendaria esperar promoção pq black friday coisa tipo amazon,negative
Apple AirPods 2 al prezzo Amazon Black Friday: €120 https://t.co/VmhqZ7Hzkn,apple airpods 2 prezzo amazon black friday 120,negative
"Prezzo Black Friday per AirPods 2: 119 €, minimo storico https://t.co/hbWNoC6DzK",prezzo black friday airpods 2 119 minimo storico,negative
@lokison3 🥳 Glad it has come in and please to hear I could help. ❤️ please come back my way for Amazon Prime Day /… https://t.co/bUYeObiLXt,glad please hear could help please back way amazon prime day,positive
@water_cannons Anytime. I'm here for you. Come at me for Amazon Prime Day / Nintendo Switch Pro restock (it's inevi… https://t.co/Xe9Ax8FdhJ,anytime amazon prime day nintendo switch pro restock inevi,positive
"@TrevorM0413 @Jake_Randall_YT NICE! Such a good little console, and Xbox Game Pass is what it's all about IMO! Come… https://t.co/6HfsXjj6Al",nice good little console xbox game pass imo,positive
49 Hottest Black Friday VPN Deals UP to 89% OFF https://t.co/lJh9i3NumN [Amazon] Glowing rc toy drone for $28.99 wi… https://t.co/PNjhzajkel,49 hottest black friday vpn deals 89 amazon glowing rc toy drone 2899 wi,negative
"Amazon Black Friday deal alert: 4K TVs, Garmin smartwatch, AirPods, and more: #DeepLearning #IoT #BigData MT… https://t.co/oekjkXxHiA",amazon black friday deal alert 4k tvs garmin smartwatch airpods deeplearning iot bigdata mt,negative
"✅ $AMZN: ""Amazon"" mentioned during Entain ""MGM Resorts International and Entain PLC Announce BetMGM Business Update… https://t.co/8Ji6yPkwj7",amzn amazon mentioned entain mgm resorts international entain plc announce betmgm business update,positive
"✅ $AMZN: ""Amazon"" mentioned during MGM Resorts International ""MGM Resorts International and Entain PLC Announce Bet… https://t.co/0CN54C9042",amzn amazon mentioned mgm resorts international mgm resorts international entain plc announce bet,positive
Hoy ha empezado los (probablemente) últimos FIA Gran Turismo Championships en GT Soort. Al final he rascado un quin… https://t.co/J7TK7N9eYM,hoy empezado probablemente últimos fia gran turismo championships gt soort final rascado quin,positive
49 Hottest Black Friday VPN Deals UP to 89% OFF https://t.co/lJh9i3NumN [Amazon] 4.3 cu ft PINK Mini Fridge 99% off https://t.co/ssHEBp78YK,49 hottest black friday vpn deals 89 amazon 43 ft pink mini fridge 99,negative
母がPCスタンド探してたので母の日にかこつけてお花とBoyataプレゼントすることに。色はブラック希望とのこと。 https://t.co/IqAUTegy4S https://t.co/xIs3WfCQnC,母がpcスタンド探してたので母の日にかこつけてお花とboyataプレゼントすることに色はブラック希望とのこと,positive
"Rumor has it, 2021 amazon's prime day will take place in June if you don't know what prime day is !! 
it's amazon's… https://t.co/W6nkjkH3Gg",rumor 2021 amazons prime day place june dont know prime day amazons,positive
"oh amazon, bota o kindle numa promo legal na black friday desse ano",oh amazon bota kindle promo legal black friday desse ano,positive
"@Tropdeuspii @Flambylevraie @Ajiseh Halloween est américain, le black Friday récemment importé

Niveau culture, tou… https://t.co/9E5f7wors5",halloween américain black friday récemment importé niveau culture tou,negative
"@OrdinaryGamers In my experience, it's mostly been useful for when I have a ton of stuff in my ""saved for later"" se… https://t.co/DIIjQZaKe4",experience mostly useful stuff saved later,positive
"@gabiimaraccini amiga vale muito muito a pena!!!! se o dinheiro não estiver dando, volta e meia tem promo na Amazon… https://t.co/CK5hzO0YGy",amiga vale pena dinheiro dando volta meia promo amazon,positive
"@missodessa @Miss_Dalisa I signed up for an Amazon Prime card Black Friday 2019, and have racked up close to $1k in… https://t.co/X4CbD1shBr",signed amazon prime card black friday 2019 racked close 1k,negative
"Amazon Prime Day 2021: When is it and what’s on sale?: It’s that time of the year again–no, not Black Friday, time… https://t.co/c3rZf8dv4i",amazon prime day 2021 whats time year againno black friday time,negative
@Jason30764685 Great pic. Love his 🇺🇸 hat and ❤️ the Challenger doc. I just watched that this weekend. Riveting and… https://t.co/1UpEdN7RTr,great love challenger doc watched weekend riveting,positive
"49 Hottest Black Friday VPN Deals UP to 89% OFF https://t.co/lJh9i3NumN (40% off) RGB selfie ring light on Amazon ,… https://t.co/9c0higVFFO",49 hottest black friday vpn deals 89 40 rgb selfie ring light amazon,positive
"vaya tenía tiempo que no revisaba amazon, el mercado de tarjetas de video de PC lo que costaba 140$ en black friday… https://t.co/ICP3Pl2Xob",vaya tiempo revisaba amazon mercado tarjetas video pc costaba 140 black friday,negative
@_GingerShandy @amazon I ordered a new body for Black Friday &amp; it’s been saying it’s on the truck for the longest 😭😭😭😭😭😭😭,ordered new body black friday amp saying truck longest,negative
"""In 2019, $38 billion was generated on Singles Day in gross merchandise value. That’s more than twice as much as Bl… https://t.co/mtJr8ExWx1",2019 38 billion generated singles day gross merchandise value thats twice much bl,positive
こんな記事も書いています。 Core...  https://t.co/V2IsqnxMr6 https://t.co/0jEvq0wFqz,こんな記事も書いています core,positive
"@WetHandDan 🥳 So glad you had a good experience, Dan. And I'm happy to have helped out. Get at me for the next thin… https://t.co/t5eFLjaAfq",glad good experience happy helped get next thin,positive
"chegou o 1984 que a amazon me presenteou e eu agora vou me sentir tentado a ler duas vezes, uma pra cada edição que… https://t.co/JrrtHhXXD9",chegou 1984 amazon presenteou agora vou sentir tentado ler duas vezes pra cada edição,positive
49 Hottest Black Friday VPN Deals UP to 89% OFF https://t.co/lJh9i3vSYd [Amazon] 2TB Crucial MX500 3D NAND SATA 2.5… https://t.co/0H382zsGi7,49 hottest black friday vpn deals 89 amazon 2tb crucial mx500 3d nand sata 25,negative
Guida per non abboccare ai falsi sconti del Black Friday https://t.co/ZcWq3Ucwi0 #amazon #blackfriday,guida abboccare falsi sconti black friday amazon blackfriday,negative
Retweet selected by the https://t.co/11ojAZRENN team |  Pick Up The Amazon Fire TV Stick 4K For Just $24.99… https://t.co/HfR6iHGqrH,retweet selected team pick amazon fire tv stick 4k 2499,positive
@mummabryan @thatssoalysha Black Friday special got my Amazon kids tablet for $60 😍😛,black friday special got amazon kids tablet 60,positive
@lisaabramowicz1 Still lower than rates of the past. Like when Amazon raises prices all year and then lowers them 5… https://t.co/lSjEwHC7JJ,still lower rates past like amazon raises prices year lowers 5,negative
@heartsbenzo olha amg o chromatica levou alguns meses.. acho q uns 5/6 meses pra entrar na amazon. chuto q ate a bl… https://t.co/Ipi71Nx6tR,olha amg chromatica levou alguns meses acho q 56 meses pra entrar amazon chuto q ate bl,positive
"Days Gone is a great game, one of my favorites of all time, and I got it on a Black Friday sale on Amazon. I guess I'm a bad person now LOL",days gone great game favorites time got black friday amazon guess bad person lol,positive
"@JimmyLikesFilm Anytime, Jimmy. That’s a great bundle to start with. Come back at me for Amazon Prime Day, Nintendo… https://t.co/Bw87q5L3s9",anytime jimmy thats great bundle start back amazon prime day nintendo,positive
#NowPlaying: George Young - Harry Vanda - Friday on My Mind George Young #listen at https://t.co/ZItnxQyAiC Buy thi… https://t.co/Ixlo9G596t,nowplaying george young harry vanda friday mind george young listen buy,positive
"本日のオススメ品:
✅Amazonにて、溜まったゴミを自動で収集するクリーベース付きのiRobot Roomba i3+が、昨年のBlack Friday時に記錄した最安値まで価格が下りお買い得!… https://t.co/li1qlrqksY",本日のオススメ品 amazonにて溜まったゴミを自動で収集するクリーベース付きのirobot roomba i3が昨年のblack friday時に記錄した最安値まで価格が下りお買い得,positive
49 Hottest Black Friday VPN Deals UP to 89% OFF https://t.co/lJh9i3vSYd [Amazon] SanDisk 200GB Ultra microSDXC UHS-… https://t.co/oawsxNiaDJ,49 hottest black friday vpn deals 89 amazon sandisk 200gb ultra microsdxc uhs,negative
"This unique sale at Amazon features the Sony X900H 75-inch 4K HDR smart TV on sale for just $1,598. It has also dro… https://t.co/ETC6qR0z21",unique amazon features sony x900h 75inch 4k hdr smart tv 1598 dro,positive
metade dos meus problemas se resolveriam com uma black friday na amazon,metade problemas resolveriam black friday amazon,negative
@H3CZ I deliver and install appliances and we are still delivering stuff that was bought on Black Friday sooo not a… https://t.co/IrmMtWu4J3,deliver install appliances still delivering stuff bought black friday sooo,negative
"@JAY_AKA_PHILLY @techradar I don’t blame you, Jay! As a fellow Eagles fan, I was rooting for you, but come back at… https://t.co/jByFR6cpx6",dont blame jay fellow eagles fan rooting back,positive
49 Hottest Black Friday VPN Deals UP to 89% OFF https://t.co/lJh9i3vSYd [Amazon] Orbit 57946 B-hyve Smart 6-Zone In… https://t.co/urbIaMWfQC,49 hottest black friday vpn deals 89 amazon orbit 57946 bhyve smart 6zone,positive
49 Hottest Black Friday VPN Deals UP to 89% OFF https://t.co/lJh9i3vSYd [Amazon] 50' Southwire 12/2 w/ Ground Romex… https://t.co/cdEDrcJRmU,49 hottest black friday vpn deals 89 amazon 50 southwire 122 w ground romex,negative
"Esperando ansiosamente:

- A vacina contra a Covid no meu braço;
- O lançamento de Escravidão Vol II;
- O Amazon Pr… https://t.co/V02MK3xR8D",esperando ansiosamente vacina covid braço lançamento escravidão vol amazon pr,positive
49 Hottest Black Friday VPN Deals UP to 89% OFF https://t.co/lJh9i3vSYd [Amazon] Anker PowerCore Slim 10000mAh Port… https://t.co/Soz3mbZ4Zn,49 hottest black friday vpn deals 89 amazon anker powercore slim 10000mah port,negative
@Durrtydoesit I buy a years PS+ every Black Friday on the Deal for£30 and I have them Stacked untill 2023 This year… https://t.co/Sd74a3LvXF,buy years ps every black friday deal for30 stacked untill 2023 year,negative
"@KayneIdrys @promodelivro agr q vc disse isso vou ficar na esperança aqui🥲
quando ele ficou nesse valor era alguma… https://t.co/caYMAIFxom",agr q vc vou ficar esperança aqui ficou nesse valor alguma,positive
"Si necesitas cambiar tu alfombrilla de ratón, aquí dejamos opciones XXL rebajadas:

💥Rii XXL Profesional (90 x 40 c… https://t.co/c4RMPCIbz2",necesitas cambiar alfombrilla ratón aquí dejamos opciones xxl rebajadas rii xxl profesional 90 x 40,positive
"Finally Friday AdSpec NCAA Florida Gators Collegiate Classic NotebookCollegiate Classic Notebook, Black, One Size https://t.co/Xj3xcKUSBP",finally friday adspec ncaa florida gators collegiate classic notebookcollegiate classic notebook black size,positive
49 Hottest Black Friday VPN Deals UP to 89% OFF https://t.co/lJh9i3NumN [Amazon] LEGO Architecture London Skyline C… https://t.co/7Irqu8nsbp,49 hottest black friday vpn deals 89 amazon lego architecture london skyline,negative
"@Poetryman551 Happy Friday 💐
This is the first book in my #MG #scifi  series Black Hole Radio. 2 boys have intergal… https://t.co/MC84RjrTMi",happy friday first book mg scifi series black hole radio 2 boys intergal,positive
"@dearlyybeloved Happy Friday 💐
This is the first book in my #MG #scifi  series Black Hole Radio. 2 boys have interg… https://t.co/hrF9mboez3",happy friday first book mg scifi series black hole radio 2 boys interg,positive
"@TheStingCat @Wario64 Just saw this. I bought a copy at WM for $10. Then I checked the Amazon deal, and now it's dead. Haha",saw bought copy wm 10 checked amazon deal dead haha,positive
"Ray-Ban Rb3025 Classic Aviator Sunglasses
Buy now: https://t.co/auQcGPYldP

#doge #dogecoin #DogecoinToTheMoon… https://t.co/tyXPKMyyfk",rayban rb3025 classic aviator sunglasses buy doge dogecoin dogecointothemoon,positive
"@twenbyers queroo mas vale a pena esperar na black friday, tava por 275 na amazon 👀",queroo vale pena esperar black friday tava 275 amazon,negative
"@eliotwb A Retail reporters repertoire: Death of Black Friday, death of skinny jeans, death of leggings, online sho… https://t.co/oiUa5Ledb8",retail reporters repertoire death black friday death skinny jeans death leggings online sho,negative
"@Joe_Lee_D Even better that you got this Xbox Series X restock, then. Congrats Joseph and I’m happy to have helped.… https://t.co/O7LzSyoWEP",even better got xbox series x restock congrats joseph happy helped,positive
Who doesn't love FREE STUFF? Come to a show and possibly win one of two $100 Amazon wishlists! Friday night at 8pm… https://t.co/egi1Q9njoh,doesnt love free stuff show possibly win two 100 amazon wishlists friday night 8pm,positive
"@TechnCollect @evilekim33 Although my local distribution of Legends &amp; Black series generally sucks, I still had bet… https://t.co/ETD9jyKxcA",although local distribution legends amp black series generally sucks still bet,negative
@AnninMatthews Get a wisdom panel! They go on sale on Amazon for Black Friday,get wisdom panel go amazon black friday,negative
"Gloomhaven is down to $87.63 at Amazon, just $2 more than its Black Friday sale price https://t.co/MHEdAcUkL0 https://t.co/lvF62jIj8f",gloomhaven 8763 amazon 2 black friday price,negative
"“If you were the GDP, your ideal citizen would be a compulsive gambler with cancer who’s going through a drawn-out… https://t.co/vid0uZBlou",gdp ideal citizen would compulsive gambler cancer whos going drawnout,positive
"@LPrivatti Nnnnn esse aí eu já tenho, comprei na Black Friday da Amazon do ano passado. É outro livro da mesma autora.",nnnnn aí comprei black friday amazon ano passado outro livro mesma autora,negative
"@Be_In4med @techradar Wonderful news, Lauren. Come back my way when you need something for Amazon prime Day / Ninte… https://t.co/7UkfgZuuYO",wonderful news lauren back way need something amazon prime day ninte,positive
